ref	word	lemma	pos	parse
1Cor 1:1	Παῦλος	Παῦλος	N-	----NSM-
1Cor 1:1	κλητὸς	κλητός	A-	----NSM-
1Cor 1:1	ἀπόστολος	ἀπόστολος	N-	----NSM-
1Cor 1:1	Χριστοῦ	Χριστός	N-	----GSM-
1Cor 1:1	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
1Cor 1:1	διὰ	διά	P-	--------
1Cor 1:1	θελήματος	θέλημα	N-	----GSN-
1Cor 1:1	θεοῦ	θεός	N-	----GSM-
1Cor 1:1	καὶ	καί	C-	--------
1Cor 1:1	Σωσθένης	Σωσθένης	N-	----NSM-
1Cor 1:1	ὁ	ὁ	RA	----NSM-
1Cor 1:1	ἀδελφὸς	ἀδελφός	N-	----NSM-
1Cor 1:2	τῇ	ὁ	RA	----DSF-
1Cor 1:2	ἐκκλησίᾳ	ἐκκλησία	N-	----DSF-
1Cor 1:2	τοῦ	ὁ	RA	----GSM-
1Cor 1:2	θεοῦ	θεός	N-	----GSM-
1Cor 1:2	ἡγιασμένοις	ἁγιάζω	V-	-XPPDPM-
1Cor 1:2	ἐν	ἐν	P-	--------
1Cor 1:2	Χριστῷ	Χριστός	N-	----DSM-
1Cor 1:2	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
1Cor 1:2	τῇ	ὁ	RA	----DSF-
1Cor 1:2	οὔσῃ	εἰμί	V-	-PAPDSF-
1Cor 1:2	ἐν	ἐν	P-	--------
1Cor 1:2	Κορίνθῳ	Κόρινθος	N-	----DSF-
1Cor 1:2	κλητοῖς	κλητός	A-	----DPM-
1Cor 1:2	ἁγίοις	ἅγιος	A-	----DPM-
1Cor 1:2	σὺν	σύν	P-	--------
1Cor 1:2	πᾶσιν	πᾶς	A-	----DPM-
1Cor 1:2	τοῖς	ὁ	RA	----DPM-
1Cor 1:2	ἐπικαλουμένοις	ἐπικαλέω	V-	-PMPDPM-
1Cor 1:2	τὸ	ὁ	RA	----ASN-
1Cor 1:2	ὄνομα	ὄνομα	N-	----ASN-
1Cor 1:2	τοῦ	ὁ	RA	----GSM-
1Cor 1:2	κυρίου	κύριος	N-	----GSM-
1Cor 1:2	ἡμῶν	ἐγώ	RP	----GP--
1Cor 1:2	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
1Cor 1:2	Χριστοῦ	Χριστός	N-	----GSM-
1Cor 1:2	ἐν	ἐν	P-	--------
1Cor 1:2	παντὶ	πᾶς	A-	----DSM-
1Cor 1:2	τόπῳ	τόπος	N-	----DSM-
1Cor 1:2	αὐτῶν	αὐτός	RP	----GPM-
1Cor 1:2	καὶ	καί	C-	--------
1Cor 1:2	ἡμῶν	ἐγώ	RP	----GP--
1Cor 1:3	χάρις	χάρις	N-	----NSF-
1Cor 1:3	ὑμῖν	σύ	RP	----DP--
1Cor 1:3	καὶ	καί	C-	--------
1Cor 1:3	εἰρήνη	εἰρήνη	N-	----NSF-
1Cor 1:3	ἀπὸ	ἀπό	P-	--------
1Cor 1:3	θεοῦ	θεός	N-	----GSM-
1Cor 1:3	πατρὸς	πατήρ	N-	----GSM-
1Cor 1:3	ἡμῶν	ἐγώ	RP	----GP--
1Cor 1:3	καὶ	καί	C-	--------
1Cor 1:3	κυρίου	κύριος	N-	----GSM-
1Cor 1:3	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
1Cor 1:3	Χριστοῦ	Χριστός	N-	----GSM-
1Cor 1:4	Εὐχαριστῶ	εὐχαριστέω	V-	1PAI-S--
1Cor 1:4	τῷ	ὁ	RA	----DSM-
1Cor 1:4	θεῷ	θεός	N-	----DSM-
1Cor 1:4	μου	ἐγώ	RP	----GS--
1Cor 1:4	πάντοτε	πάντοτε	D-	--------
1Cor 1:4	περὶ	περί	P-	--------
1Cor 1:4	ὑμῶν	σύ	RP	----GP--
1Cor 1:4	ἐπὶ	ἐπί	P-	--------
1Cor 1:4	τῇ	ὁ	RA	----DSF-
1Cor 1:4	χάριτι	χάρις	N-	----DSF-
1Cor 1:4	τοῦ	ὁ	RA	----GSM-
1Cor 1:4	θεοῦ	θεός	N-	----GSM-
1Cor 1:4	τῇ	ὁ	RA	----DSF-
1Cor 1:4	δοθείσῃ	δίδωμι	V-	-APPDSF-
1Cor 1:4	ὑμῖν	σύ	RP	----DP--
1Cor 1:4	ἐν	ἐν	P-	--------
1Cor 1:4	Χριστῷ	Χριστός	N-	----DSM-
1Cor 1:4	Ἰησοῦ	Ἰησοῦς	N-	----DSM-
1Cor 1:5	ὅτι	ὅτι	C-	--------
1Cor 1:5	ἐν	ἐν	P-	--------
1Cor 1:5	παντὶ	πᾶς	A-	----DSN-
1Cor 1:5	ἐπλουτίσθητε	πλουτίζω	V-	2API-P--
1Cor 1:5	ἐν	ἐν	P-	--------
1Cor 1:5	αὐτῷ	αὐτός	RP	----DSM-
1Cor 1:5	ἐν	ἐν	P-	--------
1Cor 1:5	παντὶ	πᾶς	A-	----DSM-
1Cor 1:5	λόγῳ	λόγος	N-	----DSM-
1Cor 1:5	καὶ	καί	C-	--------
1Cor 1:5	πάσῃ	πᾶς	A-	----DSF-
1Cor 1:5	γνώσει	γνῶσις	N-	----DSF-
1Cor 1:6	καθὼς	καθώς	C-	--------
1Cor 1:6	τὸ	ὁ	RA	----NSN-
1Cor 1:6	μαρτύριον	μαρτύριον	N-	----NSN-
1Cor 1:6	τοῦ	ὁ	RA	----GSM-
1Cor 1:6	Χριστοῦ	Χριστός	N-	----GSM-
1Cor 1:6	ἐβεβαιώθη	βεβαιόω	V-	3API-S--
1Cor 1:6	ἐν	ἐν	P-	--------
1Cor 1:6	ὑμῖν	σύ	RP	----DP--
1Cor 1:7	ὥστε	ὥστε	C-	--------
1Cor 1:7	ὑμᾶς	σύ	RP	----AP--
1Cor 1:7	μὴ	μή	D-	--------
1Cor 1:7	ὑστερεῖσθαι	ὑστερέω	V-	-PPN----
1Cor 1:7	ἐν	ἐν	P-	--------
1Cor 1:7	μηδενὶ	μηδείς	A-	----DSN-
1Cor 1:7	χαρίσματι	χάρισμα	N-	----DSN-
1Cor 1:7	ἀπεκδεχομένους	ἀπεκδέχομαι	V-	-PMPAPM-
1Cor 1:7	τὴν	ὁ	RA	----ASF-
1Cor 1:7	ἀποκάλυψιν	ἀποκάλυψις	N-	----ASF-
1Cor 1:7	τοῦ	ὁ	RA	----GSM-
