strongs	hebrew	translit	gloss
2366	חוּשִׁים	chu.shim	Hushim
2367	חֻשָׁם	chu.sham	Husham
2368	חֹתָם	cho.tam	signet
2369	הֶ֫לֶם	he.lem	Helem
2371	חֲזָהאֵל	cha.za.el	Hazael
2372	חֲזָה	cha.zah	to see
2373	חֲדִי	cha.di	breast
2374	חֹזֶה	cho.zeh	seer
2375	חֲזוֹ	cha.zo	Hazo
2377	חֱזוּ	che.zev	vision
2378	חָזוֹת	cha.zot	vision
2380	חָזוּת	cha.zut	vision
2381	חֲזִיאֵל	cha.zi.el	Haziel
2382	חֲזָיָה	cha.za.yah	Hazaiah
2383	חֶזְיוֹן	chez.yon	Hezion
2384	חִזָּיוֹן	chiz.za.von	vision
2385	חֲזִיז	cha.ziz	lightning
2386	חֲזִיר	cha.zir	swine
2387	חֵזִיר	che.zir	Hezir
2388	חָזַק	cha.zaq	to strengthen: strengthen
2389	חָזָק	cha.zaq	strong
2391	חֵ֫זֶק	che.zeq	strength
2392	חֹ֫זֶק	cho.zeq	strength
2393	חֶזְקָה	chez.qah	strength
2394	חׇזְקָה	choz.qah	force
2395	חִזְקִי	chiz.qi	Hizki
2396	חִזְקִיָּהוּ	chiz.qiy.yah	Hezekiah
2397	חַח	chach	hook
2398	חָטָא	cha.ta	to sin
2399	חֵטְא	chet	sin
2400	חַטָּא	chat.ta	sinner
2401	חֲטָאָה	cha.ta.ah	sin
2403	חַטָּאָה	chat.ta.ah	sin
2404	חָטַב	cha.tav	to chop
2405	חֲטֻבוֹת	cha.tu.vah	colored
2406	חִטָּה	chit.tah	wheat
2407	חַטּוּשׁ	chat.tush	Hattush
2410	חֲטִיטָא	cha.ti.ta	Hatita
2411	חַטִּיל	chat.til	Hattil
2412	חֲטִיפָא	cha.ti.pah	Hatipha
2413	חָטַם	cha.tam	to restrain
2414	חָטַף	cha.taph	to catch
2415	חֹטֵר	cho.ter	branch
2416	חַי	chay	alive
2419	חִיאֵל	chi.el	Hiel
2420	אֲחִידָה	a.chi.dah	riddle
2421	חֲיָא	cha.ya	to live
2422	חָיֶה	cha.yeh	vigorous
2424	חַיּוּת	chay.yut	living
2426	חֵל	chel	rampart
2427	חִיל	chil	agony
2428	אִישׁ־חַיִל	ish-cha.yil	hero
2431	חֵילָם	che.lam	Helam
2433	חִין	chin	beauty
2434	חַ֫יִץ	cha.yits	wall
2435	חִיצוֹן	chi.tson	outer
2436	חֵיק	cheq	bosom: embrace
2437	חִירָה	chi.rah	Hirah
2438	אָב	av	(Huram)-abi
2439	חִישׁ	chish	to haste
2440	חִישׁ	chish	quickly
2441	חֵךְ	chekh	palate
2442	חָכָה	cha.khah	to wait
2443	חַכָּה	chak.kah	hook
2444	חֲכִילָה	cha.khi.lah	Hachilah
2445	חַכִּים	chak.kim	wise
2446	חֲכַלְיָה	cha.khal.yah	Hacaliah
2447	חַכְלִילִי	chakh.lil	dull
2448	חַכְלִלוּת	chakh.li.lut	dullness
2449	חָכַם	cha.kham	be wise
2450	חָכָם	cha.kham	wise
2451	חׇכְמָה	chokh.mah	wisdom
2453	חַכְמוֹנִי	chakh.mo.ni	Hachmonite
2455	חֹל	chol	common
2456	חָלָא	cha.la	be sick
2457	חֶלְאָה	chel.ah	rust
2458	חֶלְאָה	chel.ah	Helah
2459	חֵ֫לֶב	che.lev	fat
2460	חֵ֫לֶב	che.lev	Heleb
2461	חָלָב	cha.lav	milk
2462	חֶלְבָּה	chel.bah	Helbah
2463	חֶלְבּוֹן	chel.bon	Helbon
2464	חֶלְבְּנָה	chel.be.nah	galbanum
2465	חֶ֫לֶד	che.led	lifetime/world
2467	חֹ֫לֶד	cho.led	weasel
2468	חֻלְדָּה	chul.dah	Huldah
2469	חֶלְדַּי	chel.day	Heldai
2470	חָלָה	cha.lah	be weak: weak
2471	חַלָּה	chal.lah	bun
2472	חֲלוֹם	cha.lom	dream
2473	חִילֵן	chi.len	Hilen
2474	חַלּוֹן	chal.lon	window
2475	חֲלוֹף	cha.loph	destruction
2476	חֲלוּשָׁה	cha.lu.shah	weakness
2477	חֲלַח	cha.lach	Halah
2478	חַלְחוּל	chal.chul	Halhul
2479	חַלְחָלָה	chal.cha.lah	anguish
2480	חָלַט	cha.lat	to catch
2481	חֲלִי	cha.li	ornament
2482	חֲלִי	cha.li	Hali
2483	חֳלִי	cho.li	sickness
2484	חֶלְיָה	chel.yah	jewelry
2485	חָלִיל	cha.lil	flute
2486	חָלִ֫ילָה	cha.li.lah	forbid
2487	חֲלִיפָה	cha.li.phah	change
2488	חֲלִיצָה	cha.li.tsah	spoil
2489	חֵֽלְכָה	che.le.kah	helpless
2490	חָלַל	cha.lal	to bore
2491	חָלָל	cha.lal	slain: killed
2492	חָלַם	cha.lam	be healthy
2495	חַלָּמוּת	chal.la.mut	mallow
2496	חַלָּמִישׁ	chal.la.mish	flint
2497	חֵלֹן	che.lon	Helon
2498	חָלַף	cha.laph	to pass
2500	חֵ֫לֶף	che.leph	for
2501	חֵ֫לֶף	che.leph	Heleph
2502	חָלַץ	cha.lats	to rescue
2503	חֶ֫לֶץ	che.lets	Helez
2504	חָלָץ	cha.lats	loin
2505	חָלַק	cha.laq	to divide
2506	חֵ֫לֶק	che.leq	portion
2507	חֵ֫לֶק	che.leq	Helek
2509	חָלָק	cha.laq	smooth
2510	חָלָק	cha.laq	(Mount) Halak
2511	חַלָּק	chal.laq	smooth
2512	חַלֻּק	chal.luq	smooth
2513	חֶלְקָה	chel.qah	portion
2514	חֲלַקָּה	cha.laq.qah	flattery
2515	חֲלֻקָּה	cha.luq.qah	division
2517	חֶלְקָ֑י	chel.qay	Helkai
2518	חִלְקִיָּהוּ	chil.qiy.yah	Hilkiah
2519	חֲלַקְלַקּוֹת	cha.laq.laq.qah	smoothness
2520	חֶלְקָת֙	chel.qat	Helkath
2521	חֶלְקַת הַצֻּרִים	chel.qat hats.tsu.rim	Helkath-hazzurim
2522	חָלַשׁ	cha.lash	to weaken
2523	חַלָּשׁ	chal.lash	weak
2524	חָם	cham	father-in-law
2525	חָם	cham	hot
2526	חָם	cham	Ham
2527	חֹם	chom	heat
2529	חֶמְאָה	chem.ah	curd
2530	חָמַד	cha.mad	to desire
2531	חֶ֫מֶד	che.med	delight
2532	חֶמְדָּה	chem.dah	desire
2533	חֶמְדָּן	chem.dan	Hemdan
2534	חֱמָא	che.ma	rage
2535	חַמָּה	cham.mah	heat
2536	חַמּוּאֵל	cham.mu.el	Hammuel
2537	חֲמוּטַל	cha.mu.tal	Hamutal
2538	חָמוּל	cha.mul	Hamul
2541	חָמוֹץ	cha.mots	oppression
2542	חַמּוּק	cham.muq	curve
2543	חֲמוֹר	cha.mor	donkey
2544	חֲמוֹר	cha.mor	Hamor
2545	חֲמוֹת	cha.mot	mother-in-law
2546	חֹ֫מֶט	cho.met	lizard
2547	חֻמְטָה	chum.tah	Humtah
2548	חָמִיץ	cha.mits	salted
2549	חֲמִישִׁי	cha.mi.shi	fifth
2550	חָמַל	cha.mal	to spare
2551	חֶמְלָה	chem.lah	compassion
2552	חָמַם	cha.mam	to warm
2553	חַמָּן	cham.man	pillar
2554	חָמַס	cha.mas	to injure
2555	חָמָס	cha.mas	violence
2556	חָמֵץ	cha.mets	to leaven
2557	חָמֵץ	cha.mets	leaven
2558	חֹ֫מֶץ	cho.mets	vinegar
2559	חָמַק	cha.maq	to turn away
2560	חָמַר	cha.mar	to aggitate
2561	חֶ֫מֶר	che.mer	wine
2563	חֹ֫מֶר	cho.mer	clay
2564	חֵמָר	che.mar	bitumen
2565	חֲמוֹר	cha.mo.rah	heap
2567	חָמַשׁ	cha.mash	to take the fifth part
2568	חָמֵשׁ	cha.mesh	five
2569	חֹ֫מֶשׁ	cho.mesh	fifth
2570	חֹ֫מֶשׁ	cho.mesh	belly
2571	חֲמֻשִׁים	cha.mush	armed
2572	חֲמִשִּׁים	cha.mish.shim	fifty
2573	חֵ֫מֶת	che.met	bottle
2574	לְב֥וֹא	bo	Lebo-(Hamath)
2575	חַמּוֹן	cham.mon	Hammon
2577	חֲמָתִי	cha.ma.ti	Hamathite
2580	חֵן	chen	favor
2582	חֵנָדָד	che.na.dad	Henadad
2583	חָנָה	cha.nah	to camp
2584	חַנָּה	chan.nah	Hannah
2585	חֲנוֹךְ	cha.nokh	Enoch
2586	חָנוּן	cha.nun	Hanun
2587	חַנּוּן	chan.nun	gracious
2588	חָנוּת	cha.nut	vault
2590	חָנַט	cha.nat	to spice
2592	חַנִּיאֵל	chan.ni.el	Hanniel
2593	חָנִיךְ	cha.nikh	trained
2594	חֲנִינָה	cha.ni.nah	favor
2595	חֲנִית	cha.nit	spear
2596	חָנַךְ	cha.nakh	to dedicate
2598	חֲנֻכָּה	cha.nuk.kah	dedication
2600	חִנָּם	chin.nam	for nothing
2601	חֲנַמְאֵל	cha.nam.el	Hanamel
2602	חֲנָמֵל	cha.na.mal	frost
2603	חַנּוֹת	chan.not	to entreat
2605	חָנָן	cha.nan	Hanan
2606	חֲנַנְאֵל	cha.nan.el	(Tower of) Hananel
2607	חֲנָנִי	cha.na.ni	Hanani
2608	חֲנַנְיָ֫הוּ	cha.nan.yah	Hananiah
2609	חָנֵס	cha.nes	Hanes
2610	חָנֵף	cha.neph	to pollute
2611	חָנֵף	cha.neph	profane
2612	חֹ֫נֶף	cho.neph	profaneness
2613	חֲנֻפָּה	cha.nu.phah	profaneness
2614	חָנַק	cha.naq	to strangle
2615	חַנָּתֹן	chan.na.ton	Hannathon
2616	חָסַד	cha.sad	be kind
2617	חֶ֫סֶד	che.sed	kindness
2618	חֶ֫סֶד	che.sed	Hesed
2619	חֲסַדְיָה	cha.sad.yah	Hasadiah
2620	חָסָה	cha.sah	to seek refuge
2621	חֹסָה	cho.sah	Hosah
2622	חָסוּת	cha.sut	refuge
2623	חָסִיד	cha.sid	pious
2624	חֲסִידָה	cha.si.dah	stork
2625	חָסִיל	cha.sil	locust
2626	חֲסִין	cha.sin	mighty
2627	חַסִּר	chas.sir	lacking
2628	חָסַל	cha.sal	to consume
2629	חָסַם	cha.sam	to muzzle
2630	חָסַן	cha.san	to hoard
2633	חֹ֫סֶן	cho.sen	wealth
2634	חָסֹן	cha.son	strong
2635	חֲסַף	cha.saph	clay
2636	חַסְפַּס	chas.pas	to peel
2637	חָסֵר	cha.ser	to lack
2638	חָסֵר	cha.ser	lacking
2639	חֶ֫סֶר	che.ser	poverty
2640	חֹ֫סֶר	cho.ser	lack
2642	חֶסְרוֹן	ches.ron	deficiency
2643	חַף	chaph	clean
2644	חָפָא	cha.pah	to do secretly
2645	חָפָה	cha.phah	to cover
2646	חֻפָּה	chup.pah	canopy
2647	חֻפָּה	chup.pah	Huppah
2648	חָפַז	cha.phaz	to hurry
2649	חִפָּזוֹן	chip.pa.zon	haste
2650	חוּפָם	chu.pham	Hupham
2651	חֹ֫פֶן	cho.phen	palm
2652	חׇפְנִי	choph.ni	Hophni
2653	חׇפַף	cho.phaph	to shield
2654	חָפֵץ	cha.phets	to delight in
2655	חָפֵץ	cha.phets	delighting
2656	חֵ֫פֶץ	che.phets	pleasure
2657	חֶפְצִי־בָהּ	cheph.tsi bah	Hephzibah
2658	חָפַר	cha.phar	to search
2659	חָפֵר	cha.pher	be ashamed
2660	חֵ֫פֶר	che.pher	Hepher
2661	חֲפֹר	cha.phor	mole
2664	חָפַשׂ	cha.pha.s	to search
2665	חֵ֫פֶשׂ	che.phe.s	plot
2666	חָפַשׁ	cha.phash	be free
2667	חֹ֫פֶשׁ	cho.phesh	spread
2668	חֻפְֿשָׁה	chuph.shah	freedom
2669	חׇפְשִׁית	choph.shut	freedom
2670	חׇפְשִׁי	choph.shi	free
2671	חֵץ	chets	arrow
2672	חָצַב	cha.tsav	to hew
2673	חָצָה	cha.tsah	to divide
2674	חָצוֹר	cha.tsor	Hazor
2675	חָצוֹר חֲדַתָּה	cha.tsor cha.dat.tah	Hazor-hadattah
2676	חָצוֹת	cha.tsot	middle
2677	חֲצִי	che.tsi	half
2678	חֵ֫צִי	chits.tsi	arrow
2681	חָצִיר	cha.tsir	abode
2682	חָצִיר	cha.tsir	grass
2683	חֵ֫צֶן	che.tsen	bosom
2684	חֹ֫צֶן	cho.tsen	bosom
2685	חֲצַף	cha.tsaph	be hasty
2686	חָצַץ	cha.tsats	to divide
2687	חָצָץ	cha.tsats	gravel
2689	חֲצֹצְרָה	cha.tso.tse.rah	trumpet
2690	חָצַר	cha.tsar	to blow
2691	חָצֵר	cha.tser	court
2692	חֲצַר־אַדָּר	cha.tsar ad.dar	Hazar-addar
2693	חֲצַר גַּדָּה	cha.tsar gad.dah	Hazar-gaddah
2694	חֲצַר הַתִּיכוֹן	cha.tsar hat.ti.khon	Hazer-hatticon
2695	חֶצְרוֹ	chets.ro	Hezro
2696	חֶצְרוֹן	chets.ron	Hezron
2698	חֲצֵרוֹת	cha.tse.rot	Hazeroth
2699	חֲצֵרִים	cha.tse.rim	villages
2700	חֲצַרְמָ֫וֶת	cha.tsar.ma.vet	Hazarmaveth
2701	חֲצַר סוּסָה	cha.tsar su.sah	Hazar-susah
2702	חֲצַר סוּסִים	cha.tsar su.sim	Hazar-susim
2704	חֲצַר עֵינָן	cha.tsar e.non	Hazar-enan
2705	חֲצַר שׁוּעָל	cha.tsar shu.al	Hazar-shual
2706	חֹק	choq	statute: decree
2707	חָקָה	cha.qah	to engrave
2708	חֻקָּה	chuq.qah	statute
2709	חֲקוּפָא	cha.qu.pah	Hakupha
2710	חָקַק	cha.qaq	to decree
2712	חֻקֹֿק	chuq.qoq	Hukkok
2713	חָקַר	cha.qar	to search
2714	חֵ֫קֶר	che.qer	search
2715	חֹר	chor	noble
2716	חֶרֶא	che.re	dung
2717	חָרֵב	cha.rev	to dry
2719	חֶ֫רֶב	che.rev	sword
2720	חָרֵב	cha.rev	dry
2721	חֹ֫רֶב	cho.rev	drought
2723	חׇרְבָּה	chor.bah	desolation
2724	חָֽרָבָה	cha.ra.vah	dry ground
2725	חֵרָבוֹן	cha.ra.von	drought
2726	חַרְבוֹנָא	char.vo.na	Harbona
2727	חָרַג	cha.rag	to quake
2728	חָרְגֹּל	cha.re.gol	locust
2729	חָרַד	cha.rad	to tremble
2730	חָרֵד	cha.red	trembling
2731	חֲרָדָה	cha.ra.dah	trembling
2732	חֲרָדָה	cha.ra.dah	Haradah
2734	חָרָה	cha.rah	to be incensed
2735	גֻּדְגֹּ֫דָה	gud.go.dah	Gudgodah
2736	חַרְחֲיָה	char.ha.yah	Harhaiah
2737	חָרוּז	cha.ruz	string
2738	חָרוּל	cha.rul	nettle
2739	חֲרוּמַף	cha.ru.maph	Harumaph
2740	חָרוֹן	cha.ron	burning anger
2741	חֲרִיפִי	cha.ru.phi	Haruphite
2742	חָרוּץ	cha.ruts	sharp
2743	חָרוּץ	cha.ruts	Haruz
2744	חַרְחוּר	char.chur	Harhur
2745	חַסְרָה	chas.rah	Hasrah
2746	חַרְחֻר	char.chur	heat
2747	חֶ֫רֶט	che.ret	stylus
2748	חַרְטֹם	char.tom	magician
2750	חֳרִי	cho.ri	burning
2751	חֹרִי	cho.ri	white
2753	חֹרִי	cho.ri	Horite
2754	חָרִיט	cha.rit	purse
2755	חֲרֵי־יוֹנִים	cha.re-yo.nim	dove-dung
2756	חָרִיף	cha.riph	Hariph
2757	חָרִיץ	cha.rits	incision
2758	חָרִישׁ	cha.rish	plowing
2759	חֲרִישִׁי	cha.ri.shi	scorching
2760	חָרַךְ	cha.rakh	to roast
2762	חֲרַכִּים	che.rekh	lattice
2763	חָרַם	cha.ram	to devote/destroy
2764	חֵ֫רֶם	che.rem	devoted thing
2765	חֳרֵם	cho.rem	Horem
2766	חָרִם	cha.rim	Harim
2768	בַּ֫עַל גָּד	ba.al gad	Baal-gad
2770	חֶרְמֵשׁ	cher.mesh	sickle
2771	חָרָן	cha.ran	Haran
2772	חֹרֹנִי	cho.ro.ni	Horonite
2773	חֹרֹנַיִם	cho.ro.na.yim	Horonaim
2774	חַרְנֶ֫פֶר	char.ne.pher	Harnepher
2775	חֶ֫רֶס	che.res	sun
2776	חֶ֫רֶס	che.res	Heres
2777	חֲרָסוּת	char.sut	Potsherd (Gate)
2778	חָרַף	cha.raph	to taunt
2779	חֹ֫רֶף	cho.reph	autumn
2780	חָרֵף	cha.reph	Hareph
2781	חֶרְפָּה	cher.pah	reproach
2782	חָרַץ	cha.rats	to decide
2783	חֲרַץ	cha.rats	loin
2784	חַרְצֻבָּה	char.tsub.bah	bond
2785	חַרְצַנִּים	char.tsan	pip
2786	חָרַק	cha.raq	to grind
2787	חֲרַךְ	cha.rakh	to singe
2788	חָרֵר	cha.rer	parched
2789	חֶ֫רֶשׂ	che.re.s	earthenware
2790	חָרַשׁ	cha.rash	to plow/plot
2791	חֶ֫רֶשׁ	che.resh	silently
2792	חֶ֫רֶשׁ	che.resh	Heresh
2793	חֹ֫רֶשׁ	cho.resh	Horesh
2794	חֹרֵשׁ	cho.resh	artificer
2795	חֵרֵשׁ	che.resh	deaf
2796	חָרָשׁ, חֲרָשִׁים	cha.rash	artificer
2797	חַרְשָׁא	char.sah	Harsha
2799	חֲרֹ֫שֶׁת	cha.ro.shet	carving
2800	גּוֹי	goy	(Harosheth)-hagoyim
2801	חָרַת	cha.rat	to engrave
2802	חֶרֶת	che.ret	Hereth
2803	חָשַׁב	cha.shav	to devise: design
2805	חֵ֫שֶׁב	che.shev	artwork
2806	חַשְׁבַּדָּנָה	chash.bad.da.nah	Hashbaddanah
2807	חֲשֻׁבָה	cha.shu.vah	Hashubah
2808	חֶשְׁבּוֹן	chesh.bon	explanation
2809	חֶשְׁבּוֹן	chesh.bon	Heshbon
2810	חִשָּׁבוֹן	chish.sha.von	invention
2811	חֲשַׁבְיָ֫הוּ	cha.shav.yah	Hashabiah
2812	חֲשַׁבְנָה	cha.shav.nah	Hashabnah
2813	חֲשַׁבְנְיָה	cha.shav.ne.yah	Hashabneiah
2814	חָשָׁה	cha.shah	be silent
2815	חַשּׁוּב	chash.shuv	Hasshub
2817	חֲשׂוּפָא	cha.su.pah	Hasupha
2818	חֲשַׁח	cha.shach	to need
2819	חַשְׁחוּ	chash.chut	requirement
2820	חָשַׂךְ	cha.sakh	to withhold
2821	חָשַׁךְ	cha.shakh	to darken
2822	חֹ֫שֶׁךְ	cho.shekh	darkness
2823	חָשֹׁךְ	cha.shokh	obscure
2825	חֶשְׁכָה	chesh.khah	dark
2826	חָשַׁל	cha.shal	be feeble
2828	חָשֻׁם	cha.shum	Hashum
2829	חֶשְׁמוֹן	chesh.mon	Heshmon
2830	חַשְׁמַל	chash.mal	amber
2831	חַשְׁמַן	chash.man	ambassador
2832	חַשְׁמֹנָה	chash.mo.nah	Hashmonah
2833	חֹ֫שֶׁן	cho.shen	breastpiece
2834	חָשַׂף	cha.saph	to strip
2835	חָשִׂף	cha.siph	little flock
2836	חָשַׁק	cha.shaq	to desire
2837	חֵ֫שֶׁק	che.sheq	desire
2838	חָשׁוּק	cha.shuq	ring
2839	חִשֻּׁק	chish.shuq	spoke
2840	חִשֻּׁר	chish.shur	hub
2841	חַשְׁרָה	chash.rah	collection
2842	חֲשַׁשׁ	cha.shash	chaff
2843	חֻשָׁתִי	chu.sha.ti	Hushathite
2844	חַת	chat	terror
2845	חֵת	chet	Heth
2846	חָתָה	cha.tah	to snatch up
2847	חִתָּה	chit.tah	terror
2848	חִתּוּל	chit.tul	bandage
2849	חַתְחַת	chat.chat	terror
2851	חִתִּית	chit.tit	terror
2852	חָתַךְ	cha.takh	to determine
2853	חָתַל	cha.tal	to entwine
2854	חֲתֻלָּה	cha.tul.lah	swaddling
2855	חֶתְלֹן	chet.lon	Hethlon
2856	חָתַם	cha.tam	to seal
2858	חֹתֶ֫מֶת	cho.te.met	ring
2859	חֹתֵן	cho.ten	relative
2860	חָתָן	cha.tan	son-in-law
2861	חֲתֻנָּה	cha.tun.nah	marriage
2862	חָתַף	cha.taph	to seize
2863	חֶ֫תֶף	che.teph	robber
2864	חָתַר	cha.tar	to dig
2865	חָתַת	cha.tat	to to be dismayed
2866	חֲתַת	cha.tat	terror
2867	חֲתַת	cha.tat	Hathath
2870	טָֽבְאֵל	ta.ve.el	Tabeel
2871	טְבוּל	ta.vul	turban
2872	טַבּוּר	tab.bur	highest
2873	טָבַח	ta.vach	to slaughter
2874	טֶ֫בַח	te.vach	slaughter
2875	טֶ֫בַח	te.vach	Tebah
2876	טַבָּח	tab.bach	guard
2878	טִבְחָה	tiv.chah	slaughtered
2879	טַבָּחָה	tab.ba.chah	cook
2880	טִבְחַת	tiv.chat	Tibhath
2881	טָבַל	ta.val	to dip
2882	טְבַלְיָ֫הוּ	te.val.ya.hu	Tebaliah
2883	טָבַע	ta.va	to sink
2884	טַבָּעוֹת	tab.ba.ot	Tabbaoth
2885	טַבַּ֫עַת	tab.ba.at	ring
2886	טַבְרִמּוֹן	tav.rim.mon	Tabrimmon
2887	טֵבֶ֑ת	te.vet	Tebeth
2888	טַבָּ֑ת	tab.bat	Tabbath
2889	טָהוֹר	ta.hor	pure
2890	טְהוֹר	te.hor	pureness
2891	טָהֵר	ta.her	be pure
2892	טֹ֫הַר	to.har	purity
2893	טׇהֳרָה	to.ho.rah	purifying
2894	טֵאטֵא	tu	to sweep
2895	טוֹב	tov	be pleasing
2896	טָב	tav	fine
2897	אִישׁ־טוֹב	ish-tov	Ish-tob
2898	טוּב	tuv	goodness
2899	טוֹב אֲדֹנִיָּה	tov a.do.niy.yah	Tobadonijah
2900	טוֹבִיָּ֫הוּ	to.viy.yah	Tobijah
2901	טָוָה	ta.vah	to spin
2902	טוּחַ	tu.ach	to overspread
2903	טוֹטָפוֹת	to.pha.phah	phylacteries
2904	טוּל	tul	to cast
2905	טוּר	tur	row
2907	טוּשׂ	tu.s	to dart
2908	טְוָת	te.vat	fasting
2909	טָחָה	ta.chah	to shoot
2910	טֻחוֹת	tu.chah	inner parts
2911	טְחוֹן	te.chon	grinding
2912	טָחַן	ta.chan	to grind
2913	טַחֲנָה	ta.cha.nah	mill
2914	טְחֹר	te.chor	tumor
2915	טִיחַ	ti.ach	coating
2916	טִיט	tit	mud
2918	טִירָה	ti.rah	encampment
2919	טַל	tal	dew
2921	טָלָא	ta.la	to spot
2923	טְלָאִים	te.la.im	Telaim
2924	טְלָא	te.la	lamb
2925	טַלְטֵלָה	tal.te.lah	captivity
2926	טָלַל	ta.lal	to cover
2928	טֶ֫לֶם	te.lem	Telem
2929	טַלְמוֹן	tal.mon	Talmon
2930	טָמֵא	ta.me	to defile
2931	טָמֵא	ta.me	unclean
2932	טֻמְאָה	tum.ah	uncleanness
2933	טָמָה	ta.mah	to defile
2934	טָמַן	ta.man	to hide
2935	טֶ֫נֶא	te.ne	basket
2936	טָנַף	ta.naph	to soil
2937	טָעָה	ta.ah	to stray
2938	טָעַם	ta.am	to perceive
2940	טַ֫עַם	ta.am	taste
2943	טָעַן	ta.an	to load
2944	טָעַן	ta.an	to pierce
2945	טַף	taph	child
2946	טָפַח	ta.phach	to extend
2947	טֶ֫פַח	te.phach	handbreadth
2948	טֹ֫פַח	to.phach	handbreadth
2949	טִפֻּחִים	tip.puch	tender care
2950	טָפַל	ta.phal	to smear
2951	טִפְסָר	tiph.sar	official
2952	טָפַף	ta.phaph	to mince
2954	טָפַשׁ	ta.phash	be insensitive
2955	טָפַת	ta.phat	Taphath
2956	טָרַד	ta.rad	to pursue
2958	טְרוֹם	te.rom	before
2959	טָרַח	ta.rach	to burden
2960	טֹ֫רַח	to.rach	burden
2961	טָרִי	ta.ri	fresh
2962	טֶ֫רֶם	te.rem	before
2963	טָרַף	ta.raph	to tear
2964	טֶ֫רֶף	te.reph	prey
2965	טָרָף	ta.raph	fresh-plucked
2966	טְרֵפָה	te.re.phah	torn animal
2967	טַרְפְּלָיֵא	tar.pe.lay	officials
2968	יָאַב	ya.av	to long
2969	יָאָה	ya.ah	to befit
2970	יַאֲזַנְיָ֫הוּ	ya.a.zan.yah	Jaazaniah
2971	יָאִיר	ya.ir	Jair
2973	יָאַל	ya.al	be foolish
2974	יָאַל	ya.al	be willing
2975	יְאֹר	ye.or	Nile
2976	יָאַשׁ	ya.ash	to despair
2977	חֵן	chen	Hen
2978	אִיתוֹן	ye.i.ton	entrance
2979	אֶתְנִי	et.ni	Ethni
2980	יָבַב	ya.vav	to cry
2981	יְבוּל	ye.vul	crops
2983	יְבוּסִי	ye.vu.si	Jebusite
2984	יִבְחָר	yiv.char	Ibhar
2985	יָבִין	ya.vin	Jabin
2986	יָבַל	ya.val	to conduct
2988	יָבָל	ya.val	stream
2989	יָבָל	ya.val	Jabal
2990	יַבָּל	yab.bel	running
2991	בִּלְעָם	bil.am	Bileam
2992	יָבַם	ya.vam	be brother-in-law
2993	יָבָם	ya.vam	brother-in-law
2994	יְבֵ֫מֶת	ye.ve.met	sister-in-law
2995	יַבְנְאֵל	yav.ne.el	Jabneel
2997	יִבְנְיָה	yiv.ne.yah	Ibneiah
2998	יִבְנִיָּה	yiv.niy.yah	Ibnijah
2999	יַבֹּק	yab.boq	Jabbok
3000	יְבֶרֶכְיָ֫הוּ	ye.ve.rekh.ya.hu	Jeberechiah
3001	יָבֵשׁ	ya.vesh	to wither
3002	יָבֵשׁ	ya.vesh	dry
3003	גִּלְעָד	gil.ad	(Jabesh)-gilead
3004	יַבָּשָׁה	yab.ba.shah	dry land
3005	יִבְשָׂם	yiv.sam	Ibsam
3008	יִגְאָל	yig.al	Igal
3009	יָגַב	ya.gav	to till
3010	יָגֵב	ya.gev	field
3011	יׇגְבְּהָה	yog.be.hah	Jogbehah
3012	יִגְדַּלְיָ֫הוּ	yig.dal.ya.hu	Igdaliah
3013	יָגָה	ya.gah	to suffer
3014	יָגָה	ya.gah	to thrust away
3015	יָגוֹן	ya.gon	sorrow
3016	יָגוֹר	ya.gor	fearing
3017	יָגוּר	ya.gur	Jagur
3018	יְגִיעַ	ye.gi.a	toil
3019	יָגִיעַ	ya.gi.a	weary
3020	יׇגְלִי	yog.li	Jogli
3021	יָגֵעַ	ya.ga	be weary/toil
3022	יָגָע	ya.ga	toil
3023	יָגֵעַ	ya.ge.a	weary
3024	יְגִעָה	ye.gi.ah	weariness
3025	יָגֹר	ya.gor	to fear
3027	יָד	yad	hand
3030	יִדְאֲלָה	yid.a.lah	Idalah
3031	יִדְבָּשׁ	yid.bash	Idbash
3032	יָדַד	ya.dad	to cast a lot
3033	יְדִדוּת	ye.di.dut	beloved
3034	יְדָא	ye.da	to praise
3035	יִדּוֹ	yid.do	Iddo
3036	יָדוֹן	ya.don	Jadon
3037	יַדּוּעַ	yad.du.a	Jaddua
3038	אֵיתָן	e.tan	Ethan
3039	יָדִיד	ye.did	beloved
3040	יְדִידָה	ye.di.dah	Jedidah
3042	יְדָיָה	ye.da.yah	Jedaiah
3043	יְדִיעֲאֵל	ye.di.a.el	Jediael
3044	יִדְלָ֑ף	yid.laph	Jidlaph
3045	יָדַע	ya.da	to know
3047	יָדָע	ya.da	Jada
3048	יְדַעְיָה	ye.da.yah	Jedaiah
3049	יִדְּעֹנִי	yid.d.o.ni	spiritist
3051	יָהַב	ya.hav	to give
3053	יְהָב	ye.hav	burden
3054	יָהַד	ya.had	to become a Jew
3055	יְהֻד	ye.hud	Jehud
3056	יַהְדַּי	yeh.day	Jahdai
3057	יְהֻדִיָּה	ye.hu.diy.yah	Judahite wife
3058	יֵהוּא	ye.hu	Jehu
3059	יְהוֹאָחָז	ye.ho.a.chaz	Jehoahaz
3063	יְהוּד	ye.hud	Judah
3064	יְהוּדַי	ye.hu.da.i	Jew
3065	יְהוּדִי	ye.hu.di	Jehudi
3066	יְהוּדִית	ye.hu.dit	Jewish
3067	יְהוּדִית	ye.hu.dit	Judith
