strongs	hebrew	translit	gloss
158	אַ֫הַב	a.hav	lover
159	אֹ֫הַב	o.hav	beloved
160	אַהֲבָה	a.ha.vah	love
161	אֹ֫הַד	o.had	Ohad
162	אֲהָהּ	a.hah	alas!
163	אַהֲוָא	a.ha.va	Ahava
164	אֵהוּד	e.hud	Ehud
165	אֱהִי	e.hi	where?
166	אָהַל	a.hal	to shine
167	אָהַל	a.hal	to pitch
168	אֹ֫הֶל	o.hel	tent
169	אֹ֫הֶל	o.hel	Ohel
170	אׇהֳלָה	o.ho.lah	Oholah
171	אׇהֳלִיאָב	o.ho.li.av	Oholiab
172	אׇהֳלִיבָה	o.ho.li.vah	Oholibah
173	אׇהֳלִיבָמָה	o.ho.li.va.mah	Oholibamah
174	אָהָל	a.ha.lim	aloe
175	אַהֲרֹן	a.ha.ron	Aaron
176	אוֹ	o	or
177	אוּאֵל	u.el	Uel
178	אוֹב	ov	medium
179	אוֹבִיל	o.vil	Obil
180	אוּבַל	u.val	river
181	אוּד	ud	firebrand
182	אוֹדָה	o.dah	because
183	אָוָה	a.vah	to desire
184	אָוָה	a.vah	to mark
185	אַוָּה	av.vah	desire
186	אוּזַי	u.zay	Uzai
187	אוּזָל	u.zal	Uzal
188	אוֹי	oy	woe!
189	אֱוִי	e.vi	Evi
190	אוֹיָה	o.yah	woe!
191	אֱוִיל	e.vil	fool(ish)
192	אֱוִיל מְרֹדַךְ	e.vil me.ro.dakh	Evil-merodach
193	אוּל	ul	strength
194	אוּלַי	u.lay	perhaps
195	אוּלַי	u.lay	Ulai
196	אֱוִלִי	e.vi.li	foolish
197	אוּלָם	u.lam	Hall (of pillars)
198	אוּלָם	u.lam	Ulam
199	אוּלָם	u.lam	but
200	אִוֶּ֫לֶת	iv.ve.let	folly
201	אוֹמָר	o.mar	Omar
202	אוֹן	on	strength
203	אוֹן	on	On
204	אֹן	on	On
205	אָ֫וֶן	a.ven	evil: wickedness
206	אָ֫וֶן	a.ven	(Valley of) Aven
207	אוֹנוֹ	o.no	Ono
208	אוֹנָם	o.nam	Onam
209	אוֹנָן	o.nan	Onan
210	אוּפָז	u.phaz	Uphaz
211	אוֹפִיר	o.phir	Ophir
212	אוֹפָן	o.phan	wheel
213	אוּץ	uts	to hasten
214	אוֹצָר	o.tsar	treasure
215	אוֹר	or	to light
216	אוֹר	or	light
217	אוּר	ur	flame
218	אוּר	ur	Ur
219	אוֹרָה	o.rah	light
221	אוּרִי	u.ri	Uri
222	אוּרִיאֵל	u.ri.el	Uriel
223	אוּרִיָּה	u.riy.yah	Uriah
224	אוּרִים	u.rim	Urim
225	אוּת	ut	to consent
226	אוֹת	ot	sign: miraculous
227	אֱדַ֫יִן	e.da.yin	then
228	אֲזָא	a.za	to heat
229	אֶזְבָּ֑י	ez.bay	Ezbai
231	אֵזוֹב	e.zov	hyssop
232	אֵזוֹר	e.zor	girdle
233	אֲזַי	a.zay	in that case
234	אַזְכָּרָה	az.ka.rah	memorial
235	אַזְדָּא	a.zad	gone
237	אֶזֶל	e.zel	Ezel
238	אָזַן	a.zan	to listen
239	אָזַן	a.zan	to ponder
